6999500000.0;-45.22
6999500000.0;-45.22
7000007000.0;-45.22
7499500000.0;-44.28
7499500000.0;-44.28
7500008000.0;-44.28
7999500000.0;-44.74
7999500000.0;-44.72
8000008000.0;-44.73
8499500000.0;-42.53
8499500000.0;-42.52
8500009000.0;-42.52
8999500000.0;-44.78
8999500000.0;-44.77
9000009000.0;-44.77
9499500000.0;-45.14
9499500000.0;-45.13
9500010000.0;-45.14
9999500000.0;-44.82
9999500000.0;-44.80
10000010000.0;-44.81
10499500000.0;-45.54
10499500000.0;-45.52
10500011000.0;-45.53
10999500000.0;-48.00
10999500000.0;-48.00
11000011000.0;-48.00
11499500000.0;-46.33
11499500000.0;-46.34
11500012000.0;-46.34
11999500000.0;-45.32
11999500000.0;-45.33
12000012000.0;-45.32
12499500000.0;-48.46
12499500000.0;-48.50
12500013000.0;-48.48
12999500000.0;-47.63
12999500000.0;-47.63
13000013000.0;-47.63
13499500000.0;-51.24
13499500000.0;-51.21
13500014000.0;-51.22
13999500000.0;-48.87
13999500000.0;-48.85
14000014000.0;-48.86
14499500000.0;-51.91
14499500000.0;-51.91
14500015000.0;-51.91
14999500000.0;-53.08
14999500000.0;-53.09
15000015000.0;-53.09
